id_pagador,qtd_boletos,media_atraso,atraso_maximo,taxa_atraso,valor_total,ticket_medio,id_cnpj,cd_cnae_prin,uf,sacado_indice_liquidez_1m,cedente_indice_liquidez_1m,score_materialidade_evolucao,media_atraso_dias,indicador_liquidez_quantitativo_3m,share_vl_inad_pag_bol_6_a_15d,score_quantidade_v2,score_materialidade_v2
027f0fd7392eab23737949f0f45d4d94044501b414c8836793a53a516ccc523d,1,2.0,2.0,1.0,2907.1,2907.1,027f0fd7392eab23737949f0f45d4d94044501b414c8836793a53a516ccc523d,8211300.0,RS,8060000000000000.0,9180000000000000.0,897.0,1.59e+16,900.0,20127.0,978.0,989.0
029903066635cb573f2b50522962c01e8dc8f7c46625ac9c232d7fb9770017e7,4,32.25,122.0,0.5,63014.86,15753.715,029903066635cb573f2b50522962c01e8dc8f7c46625ac9c232d7fb9770017e7,4639702.0,SP,9550000000000000.0,8170000000000000.0,880.0,205280.0,940.0,17116.0,974.0,988.0
02a85b7e377d3b49db10b22afa0576acdbbee83834c7e444581e062c65ebc435,1,0.0,0.0,0.0,3806.6,3806.6,,,,,,,,,,,
02b2efbd7272551f192f5661301b221ceb764a45c31bba9c1d5e67212d96e1d9,2,0.5,1.0,0.5,363.73,181.865,,,,,,,,,,,
02bbd2fee9b8b0a577a5ca23d99e2141aa175df0eeb73d6cdd5b6c1f72cf0a4a,1,0.0,0.0,0.0,2009.12,2009.12,,,,,,,,,,,
02bc5d1eb23d7fd25f72d65a334b145ba19909270ba44fb6d12e13e971137a45,1,0.0,0.0,0.0,220.34,220.34,,,,,,,,,,,
02bc9f4352d3bbe3dcba7fabd1b347ddbcc5d8a7f01c77319c0b5ead30469499,2,0.0,0.0,0.0,179.42000000000002,89.71000000000001,02bc9f4352d3bbe3dcba7fabd1b347ddbcc5d8a7f01c77319c0b5ead30469499,4771701.0,PR,9470000000000000.0,9390000000000000.0,881.0,2100000000000000.0,970.0,8235.0,959.0,986.0
02c0b9128f8c0d0c480c328b92efa7585f0fe997cb0bfcc24874a9c2925fccde,1,1.0,1.0,1.0,399.7,399.7,02c0b9128f8c0d0c480c328b92efa7585f0fe997cb0bfcc24874a9c2925fccde,4781400.0,SP,9660000000000000.0,6150000000000000.0,938.0,200000.0,990.0,0.0,977.0,986.0
02c357a53273f65c88bccb76fe4b754923445f0fc0bcffec55bc1611f26257eb,1,0.0,0.0,0.0,403.8,403.8,,,,,,,,,,,
02f27cefdd07cb806495d09bfc8c633349426a43795164ce376d0659e16ca545,1,0.0,0.0,0.0,99.56,99.56,02f27cefdd07cb806495d09bfc8c633349426a43795164ce376d0659e16ca545,4771701.0,PR,9850000000000000.0,1000.0,936.0,2.09e+16,990.0,395.0,982.0,988.0
